company_name,isin,symbol
Dixon Technologies India Pvt Ltd,INE935N01012,DIXON.NS
DLF Ltd,INE271C01023,DLF.NS
Dr. Lal Path Labs Ltd.,INE600L01024,LALPATHLAB.NS
Dr. Reddy's Laboratories,INE089A01023,DRREDDY.NS
eClerx Services Ltd,INE738I01010,ECLERX.NS
Edelweiss Financial Services Ltd.,INE532F01054,EDELWEISS.NS
Eicher Motors Ltd.,INE066A01013,EICHERMOT.BO
EID Parry India,INE126A01031,EIDPARRY.NS
EIH Ltd,INE230A01023,EIHOTEL.NS
ELGI Equipments Ltd,INE285A01027,ELGIEQUIP.NS
Emami Ltd,INE548C01032,EMAMILTD.NS
Endurance Technologies Cn Ltd,INE913H01037,ENDURANCE.NS
Engineers India Ltd.,INE510A01028,ENGINERSIN.NS
Equitas Holdings Ltd,INE988K01017,EQUITAS.NS
Eris Lifesciences Ltd,INE406M01024,ERIS.NS
ESAB India Ltd,INE284A01012,ESABINDIA.NS
Escorts Ltd,INE042A01014,ESCORTS.NS
Essel Propack ltd.,INE255A01020,EPL.NS
Exide Industries Ltd.,INE302A01020,EXIDEIND.NS
Fairchem Speciality Ltd,INE959A01019,PRIVISCL.BO
FDC Ltd.,INE258B01022,FDC.NS
The Federal Bank,INE171A01029,FEDERALBNK.NS
Federal-Mogul Goetze India Ltd,INE529A01010,FMGOETZE.NS
Fertilizers and Chemicals Travancore,INE188A01015,FACT.NS
Fine Organic Industries Ltd,INE686Y01026,FINEORG.NS
Finolex Cables Ltd.,INE235A01022,FINCABLES.NS
Finolex Industries Ltd.,INE183A01016,FINPIPE.NS
Firstsource Solutions Ltd.,INE684F01012,FSL.NS
Fortis Healthcare Ltd,INE061F01013,FORTIS.NS
Future Consumer Ltd,INE220J01025,FCONSUMER.NS
Future Lifestyle Fashions Ltd,INE452O01016,FLFL.NS
Future Retail Ltd,INE752P01024,FRETAIL.NS
GAIL (India),INE129A01019,GAIL.NS
Galaxy Surfactants Limited,INE600K01018,GALAXYSURF.NS
Garden Reach Shipbuilders & Engineers Ltd,INE382Z01011,GRSE.NS
Garware Technical Fibres,INE276A01018,GARFIBRES.NS
GE Power India Ltd,INE878A01011,GEPIL.NS
Ge T&D India Ltd,INE200A01026,GET&D.NS
General Insurance Corporation of India,INE481Y01014,GICRE.NS
Gillette India Ltd.,INE322A01010,GILLETTE.NS
GlaxoSmithkline Pharmaceuticals Ltd,INE159A01016,GLAXO.NS
Glenmark Pharmaceuticals Ltd,INE935A01035,GLENMARK.NS
GMM Pfaudler Ltd,INE541A01023,GMMPFAUDLR.NS
GMR Infrastructure Ltd,INE776C01039,GMRINFRA.NS
Godfrey Phillips India Ltd.,INE260B01028,GMRINFRA.NS
Godrej Agrovet Ltd,INE850D01014,GODREJAGRO.NS
Godrej Consumer Products Ltd.,INE102D01028,GODREJCP.NS
Godrej Industries Ltd.,INE233A01035,GODREJIND.NS
